location_id,Location,Temp_mes,Temp_Unit
LOC-0738,Madamba,Fahrenheit,38.95
LOC-4705,Horní Jiřetín,Kelvin,-3.17
LOC-4256,Armenia,Fahrenheit,-36.26
LOC-1711,Benito Juarez,Fahrenheit,27.49
LOC-7276,Sukacai Tengah,Fahrenheit,-11.93
LOC-2979,Suru,Fahrenheit,26.54
LOC-1042,Tagkawayan Sabang,Celsius,-22.68
LOC-8163,Shelabolikha,Kelvin,49.29
LOC-3511,Gamut,Fahrenheit,2.41
LOC-3884,Hyesan-dong,Kelvin,-38.29
LOC-7245,Kożuchów,Fahrenheit,13.64
LOC-7270,Dajalorong,Kelvin,11.93
LOC-5735,Mang’it Shahri,Fahrenheit,-13.78
LOC-3671,Changbai,Fahrenheit,26.91
LOC-2569,Meixi,Kelvin,13.93
LOC-5023,Gazimurskiy Zavod,Celsius,
LOC-1668,Rîbniţa,Kelvin,-17.51
LOC-4403,Ponte,Celsius,-36.04
LOC-5172,Santa Cruz,Kelvin,38.86
LOC-5088,Alīpur,Fahrenheit,-38.57
LOC-1672,Oxelösund,Fahrenheit,6.29
LOC-2553,Võhma,Kelvin,-38.73
LOC-2184,Batasan Bata,Kelvin,30.85
LOC-0268,Sardoal,Fahrenheit,4.67
LOC-9327,Zdice,Fahrenheit,0.74
LOC-2775,Cirumput,Fahrenheit,-20.15
LOC-3534,Gangjia,Celsius,34.69
LOC-4406,Maikawada,Kelvin,-6.4
LOC-9375,Kuasha,Kelvin,23.63
LOC-1444,Sanshengyuan,Celsius,-33.17
LOC-9183,Malveira,Celsius,36.88
LOC-1258,Krasnodon,Fahrenheit,-29.29
LOC-2524,Monamon,Kelvin,-30.45
LOC-0013,Tālīn,Kelvin,-31.35
LOC-1922,Celestynów,Fahrenheit,-12.71
LOC-2994,Blainville,Celsius,-20.19
LOC-0999,Yangdun,Fahrenheit,35.42
LOC-7521,Zengguang,Kelvin,25.96
LOC-1876,,Celsius,45.44
LOC-7737,Meixian,Fahrenheit,-22.6
LOC-9903,Ilići,Kelvin,
LOC-1569,Jurm,Fahrenheit,
LOC-2615,Oslo,Celsius,45.44
,Wudabao,Fahrenheit,46.52
LOC-0598,Sankt Andrä-Höch,Kelvin,6.91
LOC-7175,Mountain View,Fahrenheit,-2.35
LOC-5071,Pushkinskiye Gory,Kelvin,-14.92
LOC-9474,Tejar,Kelvin,5.05
LOC-2331,Garnich,Kelvin,-24.7
LOC-9339,Giporlos,Kelvin,45.64
LOC-7058,Bus’k,Fahrenheit,-8.36
LOC-6738,Liborina,Kelvin,11.04
LOC-6822,Gostivar,Fahrenheit,-49.54
LOC-4677,Ghayl Bā Wazīr,Kelvin,7.79
LOC-7045,,Kelvin,45.75
,Storvreta,Fahrenheit,-9.57
LOC-4402,Lazarat,Fahrenheit,-19.82
LOC-2921,Cancela,Kelvin,-45.9
LOC-3937,Angono,Fahrenheit,30.33
LOC-0786,Lindavista,Fahrenheit,17.35
LOC-2735,Songdong,Kelvin,-14.11
LOC-9126,Ituiutaba,,-28.3
LOC-0558,Ongi,Kelvin,48.93
LOC-2755,Portela,Celsius,-38.95
LOC-8592,Garhi Yāsīn,Fahrenheit,0.72
LOC-3656,Lañgub,Kelvin,39.57
LOC-8397,Fort Lauderdale,Fahrenheit,4.23
LOC-1868,,Fahrenheit,1.14
LOC-4253,Xarardheere,Kelvin,43.12
LOC-5286,Nemours,Celsius,-27.85
LOC-5367,Urzhar,Fahrenheit,-35.26
LOC-4596,‘Abs,Fahrenheit,-30.38
LOC-1195,Kortkeros,Fahrenheit,35.84
LOC-2657,Wola Sernicka,Kelvin,-49.1
LOC-6114,Mtubatuba,Celsius,-29.51
LOC-3486,Dallas,Kelvin,-33.57
LOC-0873,Taibao,Kelvin,19.74
LOC-1268,Vitry-le-François,Kelvin,-21.91
LOC-9089,Belogorsk,Celsius,-45.54
,Deder,Celsius,15.27
LOC-4711,Port-à-Piment,Fahrenheit,-14.58
